;palavras;quantidade
2198;baixo;6
4713;rio;6
2288;saco;6
370;pl;6
5697;recebem;6
3894;responder;6
85;dando;6
348;analfabetismo;6
593;elon;6
2057;cearense;6
2107;luta;6
2551;’;6
2613;todoseducacao;6
443;modelo;6
594;musk;6
2249;formado;6
2236;hora;6
2345;juro;6
2624;passou;6
4813;alguma;6
2524;mostra;6
371;prioridade;6
474;tava;6
2259;péssimo;6
589;voto;6
2753;pavor;6
2127;vários;6
2630;sério;6
2342;faculdade;6
1673;planos;5
36;moral;5
2168;empatia;5
1921;espaço;5
2874;senhor;5
2663;argentina;5
1687;ana;5
5542;recursos;5
1691;conhece;5
2406;cidades;5
3038;v;5
301;favela;5
1267;ouvi;5
2508;livros;5
3307;privada;5
3305;sensocico;5
2825;legal;5
1962;escrota;5
136;disciplinas;5
262;site;5
879;responsável;5
3267;joão;5
585;g1;5
888;exatamente;5
1633;assumir;5
891;uns;5
5451;sai;5
3081;sinceramente;5
1942;joicehasselmann;5
2155;assistindo;5
3078;sr;5
3283;apoio;5
2428;convoca;5
18;entendo;5
296;ganha;5
5348;criou;5
2557;pedagogia;5
1668;região;5
4118;próximo;5
918;virou;5
3768;🤨;5
3331;bolsolão;5
1203;entrevista;5
324;kkkkkkk;5
490;eleições;5
398;vacinas;5
1148;informações;5
3465;temer;5
27;milicos;5
5487;pensar;5
4685;vivem;5
418;😩;5
421;digno;5
3811;padrão;5
2926;burros;5
1825;coração;5
7055;lembramos;5
1051;várias;5
2266;notícias;5
3451;semestre;5
469;parar;5
1066;deste;5
2255;pediu;5
7296;luz;5
453;proposta;5
1096;psol;5
2953;jonesmanoelpcb;5
1083;visita;5
1796;vídeo;5
1800;grosseria;5
397;primeiras;5
2593;falei;5
3985;290502;5
1020;investindo;5
2573;br;5
2407;pobres;5
3984;eduardoj;5
2887;gliteomlinson;5
541;salve;5
1879;fazem;5
537;pesquisas;5
1210;jorge;5
4111;prêmio;5
30;gratuidade;5
2347;msm;5
1872;defender;5
3500;paguei;5
1190;cadê;5
4496;fundo;5
1729;atende;5
5825;lista;5
2413;dado;5
4267;pedroronchi;5
4501;comunidade;5
496;pa;5
2284;responsabilidade;5
2280;25;5
1854;possível;5
1016;247;5
2147;voltado;5
1305;caro;5
2442;caminhões;5
1377;fale;5
4049;aguento;5
3953;vacina;5
5602;kkkkkkkk;5
1581;porém;5
233;óbvio;5
234;vê;5
2803;thread;5
3143;michelgherman;5
140;aprende;5
143;conhecer;5
830;amigas;5
632;monopólio;5
1517;parece;5
4715;mau;5
242;número;5
2079;obra;5
1465;vindo;5
45;diretor;5
1993;resultado;5
181;umas;5
3933;talvez;5
2393;escroto;5
6206;infraestrutura;5
3644;gratuito;5
1415;borgesjmarcelo;5
8023;cuo;5
6436;renzograciebjj;5
